New Belgium,Fat tire,4.75
Odell,IPA,4.75
Odell,Easy Street Wheat,4.75
Odell,90 Shilling,4.75
Blue Moon Brewing,Blue Moon,4.75
Snake River Brewing,Snake River Pale,4.75
Snake River Brewing,Pakos IPA,4.75
Oskar Blues Brewing,Dales Pale Ale,4.75
Oskar Blues Brewing,Old Chub Scottish Ale,4.75
Alaskan Brewing,Alaskan Amber,4.75
PBR,PBR,3.5
,Heineken,5.75
,Stella Artois,4.75
,Corona,4.75
,Negro Modelo,4.75
,Dos Equis Lager,4.75
Anheuser-Busch,Bud Light,3.5
Coors Brewing,Coors Light,3.5
Miller Brewing,Miller Light,3.5
Manheuser-Busch,Michelob Ultra,4.5
Boston Beer Co,Angry Orchard,5.5
